"left.time","right.time","censor","id","year.cap1","year.cap2","year.cap3","left.age","right.age","brood"
142,182,1,"14012-02-2016",0,1,0,2,42,1
182,185,0,"14012-02-2016",0,1,0,42,45,1
142,153,1,"14012-03-2016",0,1,0,2,13,1
153,157,0,"14012-03-2016",0,1,0,13,17,1
142,169,1,"14012-04-2016",0,1,0,2,29,1
169,172,0,"14012-04-2016",0,1,0,29,32,1
11,14,1,"14023-01-2015",1,0,0,3,6,2
14,15,0,"14023-01-2015",1,0,0,6,7,2
11,14,1,"14023-02-2015",1,0,0,3,6,2
14,15,0,"14023-02-2015",1,0,0,6,7,2
11,20,1,"14023-03-2015",1,0,0,3,12,2
11,15,1,"14023-04-2015",1,0,0,3,7,2
15,16,0,"14023-04-2015",1,0,0,7,8,2
44,82,1,"14023-10-2015",1,0,0,36,74,2
8,23,1,"14031-01-2015",1,0,0,2,17,3
8,8,1,"14031-02-2015",1,0,0,2,2,3
8,9,0,"14031-02-2015",1,0,0,2,3,3
8,16,1,"14031-03-2015",1,0,0,2,10,3
16,18,0,"14031-03-2015",1,0,0,10,12,3
8,8,1,"14031-04-2015",1,0,0,2,2,3
8,9,0,"14031-04-2015",1,0,0,2,3,3
11,13,1,"15001-01-2015",1,0,0,4,6,4
13,15,0,"15001-01-2015",1,0,0,6,8,4
11,14,1,"15001-02-2015",1,0,0,4,7,4
14,15,0,"15001-02-2015",1,0,0,7,8,4
32,50,1,"15004-01-2015",1,0,0,2,20,5
32,44,1,"15004-02-2015",1,0,0,2,14,5
44,46,0,"15004-02-2015",1,0,0,14,16,5
32,32,1,"15004-03-2015",1,0,0,2,2,5
32,35,0,"15004-03-2015",1,0,0,2,5,5
32,39,1,"15004-04-2015",1,0,0,2,9,5
56,72,1,"15004-08-2015",1,0,0,26,42,5
72,75,0,"15004-08-2015",1,0,0,42,45,5
56,61,1,"15004-09-2015",1,0,0,26,31,5
61,64,0,"15004-09-2015",1,0,0,31,34,5
40,40,1,"15006-01-2015",1,0,0,6,6,6
40,42,0,"15006-01-2015",1,0,0,6,8,6
58,76,1,"15006-02-2015",1,0,0,24,42,6
76,78,0,"15006-02-2015",1,0,0,42,44,6
58,104,1,"15006-03-2015",1,0,0,24,70,6
104,107,0,"15006-03-2015",1,0,0,70,73,6
58,116,1,"15006-04-2015",1,0,0,24,82,6
58,101,1,"15006-05-2015",1,0,0,24,67,6
101,104,0,"15006-05-2015",1,0,0,67,70,6
