"left.time","right.time","censor","id","yearCapture","ageCapture","ageRight"
125,131,1,5025,2019,1,8
125,140,1,5027,2019,1,17
124,143,1,5029,2019,1,21
125,202,1,5039,2019,1,78
202,203,0,5039,2019,78,79
125,228,1,5043,2019,1,105
125,126,0,5045,2019,1,2
126,127,0,5533,2019,1,2
124,180,1,5752,2019,1,58
124,142,1,5756,2019,1,19
142,143,0,5756,2019,19,20
124,135,1,5760,2019,1,12
135,136,0,5760,2019,12,13
124,200,1,5766,2019,1,78
124,154,1,5768,2019,1,32
125,126,1,5772,2019,1,2
126,127,0,5772,2019,2,3
126,200,1,5776,2019,1,76
125,135,1,5778,2019,1,11
135,136,0,5778,2019,11,12
125,146,1,5780,2019,1,23
125,145,1,5782,2019,1,21
145,146,0,5782,2019,21,22
124,125,0,5786,2019,1,2
125,134,1,5788,2019,1,10
134,135,0,5788,2019,10,11
125,133,1,5796,2019,1,9
133,134,0,5796,2019,9,10
73,148,1,5953,2018,1,77
72,205,1,5959,2018,1,135
73,74,0,5969,2018,1,2
20,82,1,6059,2017,1,64
21,22,0,6075,2017,1,2
21,45,1,6079,2017,1,25
45,46,0,6079,2017,25,26
21,54,1,6083,2017,1,35
20,86,1,6087,2017,1,68
19,114,1,6091,2017,1,97
21,21,1,6093,2017,1,2
73,77,1,6100,2018,1,5
77,78,0,6100,2018,5,6
73,92,1,6104,2018,1,20
92,93,0,6104,2018,20,21
72,141,1,6106,2018,1,70
141,142,0,6106,2018,70,71
124,132,1,6108,2019,1,9
132,133,0,6108,2019,9,10
124,155,1,6110,2019,1,32
155,156,0,6110,2019,32,33
73,201,1,6122,2018,1,129
201,202,0,6122,2018,129,130
72,125,1,6132,2018,1,55
124,160,1,6134,2019,1,37
160,161,0,6134,2019,37,38
72,128,1,6136,2018,1,58
71,73,1,6138,2018,1,3
73,74,0,6138,2018,3,4
73,94,1,6146,2018,1,22
94,95,0,6146,2018,22,23
73,77,1,6150,2018,1,5
77,78,0,6150,2018,5,6
124,198,1,6161,2019,1,75
198,199,0,6161,2019,75,76
123,124,1,6163,2019,1,2
124,125,0,6163,2019,2,3
71,114,1,6165,2018,1,45
20,20,1,6180,2017,1,2
124,125,1,6182,2019,1,2
125,126,0,6182,2019,2,3
20,112,1,6204,2017,1,93
112,113,0,6204,2017,93,94
20,228,1,6216,2017,1,210
21,119,1,6220,2017,1,100
72,96,1,6224,2018,1,25
96,97,0,6224,2018,25,26
19,19,1,6234,2017,1,2
19,228,1,6236,2017,1,211
20,27,1,6242,2017,1,9
22,22,1,6250,2017,1,2
73,122,1,6252,2018,1,51
20,75,1,6258,2017,1,57
20,23,1,6262,2017,1,4
23,24,0,6262,2017,4,5
22,84,1,6272,2017,1,64
74,115,1,6274,2018,1,43
20,21,1,6276,2017,1,2
21,22,1,6288,2017,1,2
22,23,0,6288,2017,2,3
71,109,1,6294,2018,1,40
20,191,1,6296,2017,1,172
191,192,0,6296,2017,172,173
72,152,1,6298,2018,1,82
21,46,1,6312,2017,1,27
21,45,1,6314,2017,1,25
45,46,0,6314,2017,25,26
19,44,1,6318,2017,1,26
44,45,0,6318,2017,26,27
124,135,1,6326,2019,1,12
135,136,0,6326,2019,12,13
20,69,1,6332,2017,1,51
72,119,1,6344,2018,1,49
125,126,1,6346,2019,1,2
72,75,1,6348,2018,1,4
75,76,0,6348,2018,4,5
21,116,1,6350,2017,1,97
72,143,1,6356,2018,1,73
20,228,1,6362,2017,1,210
72,74,1,6380,2018,1,3
74,75,0,6380,2018,3,4
125,154,1,6390,2019,1,30
154,155,0,6390,2019,30,31
20,58,1,6394,2017,1,40
125,144,1,6398,2019,1,20
144,145,0,6398,2019,20,21
72,72,1,6400,2018,1,2
72,144,1,6402,2018,1,73
144,145,0,6402,2018,73,74
124,132,1,6410,2019,1,9
132,133,0,6410,2019,9,10
72,73,1,6416,2018,1,2
73,74,0,6416,2018,2,3
122,123,0,6420,2019,1,2
73,228,1,6422,2018,1,157
72,73,0,6425,2018,1,2
124,180,1,6429,2019,1,58
73,78,1,6431,2018,1,6
78,79,0,6431,2018,6,7
124,125,1,6440,2019,1,2
125,126,0,6440,2019,2,3
72,75,1,6452,2018,1,4
75,76,0,6452,2018,4,5
125,228,1,6456,2019,1,105
73,82,1,6458,2018,1,10
82,83,0,6458,2018,10,11
73,81,1,6465,2018,1,9
81,82,0,6465,2018,9,10
72,132,1,6469,2018,1,62
72,202,1,6471,2018,1,131
202,203,0,6471,2018,131,132
124,200,1,6479,2019,1,78
73,145,1,6485,2018,1,74
123,166,1,6489,2019,1,45
73,109,1,6494,2018,1,38
72,228,1,6496,2018,1,158
123,124,0,7031,2019,1,2
125,193,1,7033,2019,1,70
124,200,1,7035,2019,1,78
123,133,1,7039,2019,1,12
125,126,0,7047,2019,1,2
125,126,0,7050,2019,1,2
124,125,0,7052,2019,1,2
124,228,1,7054,2019,1,106
123,124,0,7058,2019,1,2
125,126,0,7070,2019,1,2
123,228,1,7072,2019,1,107
124,127,1,7074,2019,1,4
127,128,0,7074,2019,4,5
124,149,1,7076,2019,1,26
